Election,First-Second,n
2022 General Election,PC-Liberal,11
2022 General Election,NDP-PC,5
2022 General Election,NDP-Liberal,2
2022 General Election,PC-NDP,2
2022 General Election,IND-PC,1
2022 General Election,Liberal-NDP,1
2022 General Election,Liberal-PC,1
2022 General Election,PC-Green,1
2018 General Election,PC-NDP,20
2018 General Election,NDP-PC,9
2018 General Election,PC-Liberal,7
2018 General Election,Liberal-PC,5
2018 General Election,NDP-Liberal,3
2018 General Election,Liberal-NDP,2
